id,name,album_id,song_number,explicit
129,This Is Why We Can’t Have Nice Things,6,13,0
130,Call It What You Want,6,14,0
131,New Year’s Day,6,15,0
132,I Forgot That You Existed,7,1,0
133,Cruel Summer,7,2,0
134,Lover,7,3,0
135,The Man,7,4,0
136,The Archer,7,5,0
137,I Think He Knows,7,6,0
138,Miss Americana & The Heartbreak Prince,7,7,0
139,Paper Rings,7,8,0
140,Cornelia Street,7,9,0
141,Death By A Thousand Cuts,7,10,0
142,London Boy,7,11,0
143,Soon You’ll Get Better (feat. The Chicks),7,12,0
144,False God,7,13,0
145,You Need To Calm Down,7,14,0
146,Afterglow,7,15,0
147,ME! (feat. Brendon Urie of Panic! At The Disco),7,16,0
148,It’s Nice To Have A Friend,7,17,0
149,Daylight,7,18,0
150,the 1 🅴,8,1,1
151,cardigan,8,2,0
152,the last great american dynasty 🅴,8,3,1
153,exile (feat. Bon Iver),8,4,0
154,my tears ricochet,8,5,0
155,mirrorball,8,6,0
156,seven,8,7,0
157,august,8,8,0
158,this is me trying,8,9,0
159,illicit affairs,8,10,0
160,invisible string,8,11,0
161,mad woman 🅴,8,12,1
162,epiphany,8,13,0
163,betty 🅴,8,14,1
164,peace 🅴,8,15,1
165,hoax,8,16,0
166,the lakes (bonus track),8,17,0
167,willow,9,1,0
168,champagne problems 🅴,9,2,1
169,gold rush 🅴,9,3,1
170,'tis the damn season,9,4,0
171,tolerate it 🅴,9,5,1
172,"no body, no crime (feat. HAIM)",9,6,0
173,happiness 🅴,9,7,1
174,dorothea,9,8,0
175,coney island (feat. The National),9,9,0
176,ivy 🅴,9,10,1
177,cowboy like me 🅴,9,11,1
178,long story short,9,12,0
179,marjorie,9,13,0
180,closure,9,14,0
181,evermore (feat. Bon Iver),9,15,0
182,right where you left me (bonus track),9,16,0
183,it's time to go (bonus track),9,17,0
184,Lavender Haze 🅴,10,1,1
185,Maroon 🅴,10,2,1
186,Anti-Hero,10,3,0
187,Snow On The Beach (feat. Lana Del Rey) 🅴,10,4,1
188,"You're On Your Own, Kid",10,5,0
189,Midnight Rain,10,6,0
190,Question... 🅴,10,7,1
191,Vigilante Shit 🅴,10,8,1
192,Bejeweled,10,9,0
193,Labyrinth,10,10,0
194,Karma 🅴,10,11,1
195,Sweet Nothing,10,12,0
196,Mastermind,10,13,0
197,The Great War,10,14,0
198,Bigger Than The Whole Sky,10,15,0
199,Paris,10,16,0
200,High Infidelity,10,17,0
201,Glitch,10,18,0
202,"Would've, Could've, Should've",10,19,0
203,Dear Reader,10,20,0
204,Hits Different 🅴,10,21,1
205,Snow On The Beach (feat. More Lana Del Rey) 🅴,10,22,1
206,Karma (feat. Ice Spice) 🅴,10,23,1
207,Fortnight (feat. Post Malone),11,1,0
208,The Tortured Poets Department 🅴,11,2,1
209,My Boy Only Breaks His Favorite Toys,11,3,0
210,Down Bad 🅴,11,4,1
211,"So Long, London",11,5,0
212,But Daddy I Love Him 🅴,11,6,1
213,Fresh Out The Slammer,11,7,0
214,Florida!!! (feat. Florence + the Machine) 🅴,11,8,1
215,Guilty as Sin,11,9,0
216,Who’s Afraid of Little Old Me,11,10,0
217,I Can Fix Him (No Really I Can),11,11,0
218,loml 🅴,11,12,1
219,I Can Do It With a Broken Heart 🅴,11,13,1
220,The Smallest Man Who Ever Lived 🅴,11,14,1
221,The Alchemy,11,15,0
222,Clara Bow,11,16,0
223,The Black Dog 🅴,11,17,1
224,imgonnagetyouback,11,18,0
225,The Albatross,11,19,0
226,Chloe or Sam or Sophia or Marcus,11,20,0
227,How Did It End,11,21,0
228,So High School,11,22,0
229,I Hate It Here,11,23,0
